Name(name),Description(description),Device address(ASDUA),Object address(IPA),time(time),processState(processState),eventState(eventState),processStatus(processStatus),eventStatus(eventStatus),Command out of service(OutOfService),Object type(CommandType),Archive group(ArGroup),Short command output time [10ms](ContainsCommandParam.BefeZ1),Long command output time [10 ms](ContainsCommandParam.BefeZ2),External loop check - lower limit of resistance(ContainsCommandParam.WideU),External loop check - upper limit of resistance(ContainsCommandParam.WideO),Without Circuit Test(ContainsCommandParam.WithoutCircuitTest),Follow-on time [10ms](ContainsCommandParam.NachZ),Checkback signal monitoring time [10ms](ContainsCommandParam.RuecZ)
MV44701_SET_REM,,4470,24577,,,,,,0,EBF,,5000,5000,,,0,0,0
R447M:MV44701:HS:XO,,4470,24737,,,,,,0,DBF,,5000,5000,,,0,0,0
